"날짜","종가","시가","고가","저가","거래량","변동 %","RSI(14)","MACD(12,26)","MACD_SIGNAL(9)","MACD_HIST"
"2025- 05- 07","54,600","54,500","55,000","54,300","16.97M","0.55%","43.2671","-445.6285","-396.6685","-48.9600"
"2025- 05- 02","54,300","55,000","55,500","54,200","22.39M","-2.16%","41.4140","-407.9453","-384.4285","-23.5167"
"2025- 04- 30","55,500","55,900","56,000","55,300","12.66M","-0.54%","47.1321","-323.3685","-378.5493","55.1808"
"2025- 04- 29","55,800","55,700","56,500","55,600","9.80M","0.00%","48.6928","-332.8961","-392.3445","59.4485"
"2025- 04- 28","55,800","55,800","55,900","55,500","9.07M","0.18%","48.6928","-370.7600","-407.2067","36.4466"
"2025- 04- 25","55,700","56,400","56,400","55,600","11.74M","0.00%","48.1998","-413.6953","-416.3183","2.6230"
"2025- 04- 24","55,700","55,600","55,800","55,200","10.47M","0.00%","48.1998","-452.2972","-416.9741","-35.3231"
"2025- 04- 23","55,700","56,000","56,100","55,500","10.82M","1.27%","48.1998","-494.9884","-408.1433","-86.8451"
"2025- 04- 22","55,000","54,900","55,500","54,700","9.53M","-0.72%","45.2514","-542.2780","-386.4320","-155.8460"
"2025- 04- 21","55,400","55,200","56,000","55,100","5.70M","0.18%","46.6606","-523.4763","-347.4705","-176.0058"
"2025- 04- 18","55,300","55,300","55,600","54,900","5.43M","0.36%","46.2722","-532.5916","-303.4691","-229.1226"
"2025- 04- 17","55,100","54,700","55,300","54,500","10.87M","0.73%","45.5356","-526.2975","-246.1884","-280.1091"
"2025- 04- 16","54,700","56,000","56,200","54,500","14.41M","-3.36%","44.1127","-490.2450","-176.1612","-314.0838"
